RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
861648815,1,23,3.78,41,79,0,8,5000,1000,600,3.3,10000,4,3,24000,9063,288,53,14596,0,9998.11
861648815,1,23,3.78,41,79,0,8,6000,1000,600,3.3,10000,4,3,24000,7582,151,28,16239,0,9998.11
861648815,1,23,3.78,41,79,0,8,8000,1000,600,3.3,10000,4,3,24000,4879,69,6,19046,0,9998.11
2314927680,1,23,3.78,41,79,0,9,2000,1000,600,3.3,10000,4,3,23998,16284,6080,1237,397,0,9996.73
2314927680,1,23,3.78,41,79,0,9,3000,1000,600,3.3,10000,4,3,23998,11589,7766,1308,3335,0,9996.27
2314927680,1,23,3.78,41,79,0,9,4000,1000,600,3.3,10000,4,3,23998,8652,5178,730,9438,0,9996.1
2314927680,1,23,3.78,41,79,0,9,5000,1000,600,3.3,10000,4,3,23998,7211,3797,484,12506,0,9996.02
2314927680,1,23,3.78,41,79,0,9,6000,1000,600,3.3,10000,4,3,23998,6413,2964,347,14274,0,9995.99
2314927680,1,23,3.78,41,79,0,9,8000,1000,600,3.3,10000,4,3,23998,5473,2321,241,15963,0,9995.87
861648815,1,23,3.78,41,79,0,9,2000,1000,600,3.3,10000,4,3,23996,15859,6529,1237,371,0,9996.68
861648815,1,23,3.78,41,79,0,9,3000,1000,600,3.3,10000,4,3,23996,11469,7794,1318,3415,0,9996.27
861648815,1,23,3.78,41,79,0,9,4000,1000,600,3.3,10000,4,3,23998,8597,5118,717,9566,0,9996.12
861648815,1,23,3.78,41,79,0,9,5000,1000,600,3.3,10000,4,3,24000,7253,3667,472,12608,0,9996.07
861648815,1,23,3.78,41,79,0,9,6000,1000,600,3.3,10000,4,3,24000,6445,2895,348,14312,0,9996.03
861648815,1,23,3.78,41,79,0,9,8000,1000,600,3.3,10000,4,3,24000,5496,2230,240,16034,0,9995.9
